2026-04-02 23:01:23 | TX | HELLO | seq=1 | len=5
2026-04-02 23:01:23 | RX | 12345 | seq=1 | len=5
2026-04-02 23:01:23 | TX | RESPONSE | seq=2 | len=21
2026-04-02 23:01:23 | RX | VERIFY_OK | seq=2 | len=9
2026-04-02 23:01:23 | TX | REQ_SNAPSHOT | seq=3 | len=12
2026-04-02 23:01:23 | RX | ACK | seq=3 | len=3
2026-04-02 23:01:23 | RX | DATA | seq=4 | len=42
2026-04-02 23:01:25 | TX | REQ_SNAPSHOT | seq=4 | len=12
2026-04-02 23:01:25 | RX | ACK | seq=5 | len=3
2026-04-02 23:01:25 | RX | DATA | seq=6 | len=42
2026-04-02 23:01:27 | TX | REQ_SNAPSHOT | seq=5 | len=12
2026-04-02 23:01:27 | RX | ACK | seq=7 | len=3
2026-04-02 23:01:27 | RX | DATA | seq=8 | len=42
2026-04-02 23:01:29 | TX | REQ_SNAPSHOT | seq=6 | len=12
2026-04-02 23:01:29 | RX | ACK | seq=9 | len=3
2026-04-02 23:01:29 | RX | DATA | seq=10 | len=42
2026-04-02 23:01:31 | TX | REQ_SNAPSHOT | seq=7 | len=12
2026-04-02 23:01:31 | RX | ACK | seq=11 | len=3
2026-04-02 23:01:31 | RX | DATA | seq=12 | len=42
2026-04-02 23:01:33 | TX | REQ_SNAPSHOT | seq=8 | len=12
2026-04-02 23:01:33 | RX | ACK | seq=13 | len=3
2026-04-02 23:01:33 | RX | DATA | seq=14 | len=42
2026-04-02 23:01:35 | TX | REQ_SNAPSHOT | seq=9 | len=12
2026-04-02 23:01:35 | RX | ACK | seq=15 | len=3
2026-04-02 23:01:35 | RX | DATA | seq=16 | len=42
